Year,Killed,Wounded,Number_of_incidents
1966,20,NA,2
1967,6,NA,1
1968,7,NA,1
1969,4,NA,1
1970,4,NA,1
1971,0,NA,0
1972,10,NA,2
1973,7,NA,1
1974,0,NA,0
1975,5,NA,1
1976,7,NA,1
1977,17,NA,3
1978,4,NA,1
1979,0,NA,0
1980,14,NA,3
1981,9,NA,2
1982,18,NA,3
1983,16,NA,3
1984,40,NA,4
1985,4,NA,1
1986,14,NA,1
1987,6,NA,1
1988,15,NA,3
1989,14,NA,2
1990,11,NA,1
1991,40,NA,5
1992,18,NA,4
1993,30,NA,6
1994,9,NA,2
1995,14,NA,3
1996,10,NA,2
1997,16,NA,4
1998,13,NA,3
1999,52,NA,7
2000,17,NA,3
2001,17,NA,4
2002,4,NA,1
2003,16,NA,3
2004,15,NA,3
2005,24,NA,4
2006,23,NA,4
2007,49,NA,4
2008,26,NA,5
2009,42,NA,5
2010,25,NA,5
2011,25,NA,4
2012,61,NA,6
2013,31,NA,5
2014,14,NA,3
2015,43,NA,5
2016,70,NA,5
2017,106,NA,7
2018,72,NA,9
2019,65,NA,7
2020,9,NA,2
2021,48,NA,7
2022,47,NA,5